topic,ele_code,ele_amount
1,055Y,3696.32
1,1998,3696.32
1,7645,5876.58
1,125Y,9110.89
1,062Y,23498.67
1,7259,23498.67
1,8624,27061.76
1,1253,30201.34
1,7699,45132.7
1,7959,53073
1,107Y,60371.52
1,154Y,75290.07
1,7275,95744.65
1,1536,110574.5
1,104Y,111005.58
1,7412,116226.27
1,9150,141400.7
1,162Y,165371.71
1,7980,718397.73
1,8060,767497.33
1,7261,2032156.43
1,1668,3302937.05
1,1997,7105596.78
1,7172,8452533.26
2,055Y,2874.92
2,1998,2874.92
2,7645,5876.58
2,1253,10067.11
2,062Y,13707.56
2,7259,13707.56
2,8624,16781.42
2,7959,23588
2,125Y,25054.94
2,154Y,47280.07
2,7699,63716.75
2,1536,91806.12
2,107Y,97523.22
2,7412,99072.68
2,7275,100303.92
2,104Y,167018.51
2,9150,172514.34
2,162Y,174159.87
2,8060,596942.99
2,7980,906851
2,1668,2264053.24
2,7261,2912320.38
2,1997,8074974.37
2,7172,56243711.01
3,7645,7835.45
3,7275,9118.54
3,1253,10067.11
3,7959,11794
3,107Y,13931.89
3,125Y,18221.77
3,055Y,22177.94
3,1998,22177.94
3,7699,23893.78
3,1536,24897.16
3,8624,25363.6
3,7412,28126.74
3,154Y,30380.22
3,104Y,33100.65
3,162Y,89286.78
3,9150,97300.44
3,062Y,135117.36
3,7259,135117.36
3,7980,534614.36
3,8060,903852.87
3,7261,1714592.45
3,1668,3728877.89
3,1997,5608120.2
3,7172,13111021.37
4,055Y,1642.81
4,1998,1642.81
4,062Y,5874.67
4,7259,5874.67
4,125Y,6833.17
4,7645,15670.89
4,7959,17691
4,107Y,27863.78
4,1536,36208.18
4,1253,40268.46
4,7699,42477.83
4,7412,42667.35
4,9150,62109.51
4,7275,63829.77
4,154Y,71946.71
4,8624,103247.93
4,104Y,136513.5
4,162Y,152753.65
4,7980,963806.73
4,8060,1071710.42
4,7261,1306568.45
4,1668,3207427.62
4,1997,4089811.24
4,7172,20897098.48
5,7959,5897
5,055Y,6160.54
5,1998,6160.54
5,7699,18584.05
5,7645,21547.48
5,062Y,27415.12
5,7259,27415.12
5,125Y,29610.38
5,1253,30201.34
5,8624,40625.93
5,7275,41033.42
5,9150,41146.69
5,107Y,41795.67
5,1536,51236.41
5,7412,56888.18
5,104Y,59007.88
5,154Y,69259.13
5,162Y,263264.81
5,8060,709210.13
5,7261,1287915.05
5,7980,1989493.7
5,1668,3389370.75
5,1997,4176335.39
5,7172,12914895.42
6,7645,5876.58
6,125Y,6833.17
6,1253,10067.11
6,062Y,11749.34
6,7259,11749.34
6,107Y,13931.89
6,7699,15929.19
6,8624,16408.76
6,7275,18237.08
6,055Y,28338.48
6,1998,28338.48
6,1536,33489.75
6,7959,35382
6,104Y,36747.98
6,7412,43985.9
6,154Y,74335.09
6,162Y,81562.04
6,9150,145394.91
6,7980,422180.61
6,7261,775879.2
6,1668,2382129.17
