topic,ele_code,freq
1,055Y,1
1,062Y,1
1,7959,1
1,162y,1
1,1253,1
1,107Y,1
1,7645,1
1,125Y,1
1,7275,1
1,1998,1
1,054y,1
1,7259,1
1,7699,1
1,054Y,2
1,8624,3
1,7172,3
1,104Y,3
1,1536,3
1,7412,4
1,9150,4
1,162Y,17
1,7980,49
1,7261,53
1,1668,62
1,8060,78
1,1997,121
2,055Y,1
2,062Y,1
2,7959,1
2,162y,1
2,1253,1
2,107Y,1
2,7645,1
2,125Y,1
2,7275,1
2,1998,1
2,054y,1
2,7259,1
2,7699,1
2,054Y,2
2,8624,3
2,104Y,3
2,7172,3
2,1536,3
2,7412,4
2,9150,4
2,162Y,17
2,7980,49
2,7261,53
2,1668,62
2,8060,78
2,1997,121
3,055Y,1
3,062Y,1
3,7959,1
3,162y,1
3,1253,1
3,7699,1
3,107Y,1
3,7645,1
3,125Y,1
3,7275,1
3,1998,1
3,054y,1
3,7259,1
3,054Y,2
3,8624,3
3,104Y,3
3,7172,3
3,1536,3
3,7412,4
3,9150,4
3,162Y,17
3,7980,49
3,7261,53
3,1668,62
3,8060,78
3,1997,121
4,055Y,1
4,062Y,1
4,7959,1
4,162y,1
4,1253,1
4,107Y,1
4,7645,1
4,125Y,1
4,7275,1
4,1998,1
4,054y,1
4,7259,1
4,7699,1
4,054Y,2
4,8624,3
4,104Y,3
4,7172,3
4,1536,3
4,7412,4
4,9150,4
4,162Y,17
4,7980,49
4,7261,53
4,1668,62
4,8060,78
4,1997,121
5,055Y,1
5,062Y,1
5,7959,1
5,162y,1
5,1253,1
5,7699,1
5,107Y,1
5,7645,1
5,125Y,1
5,7275,1
5,1998,1
5,054y,1
5,7259,1
5,054Y,2
5,8624,3
5,104Y,3
5,7172,3
5,1536,3
5,7412,4
5,9150,4
5,162Y,17
5,7980,49
5,7261,53
5,1668,62
5,8060,78
5,1997,121
6,055Y,1
6,062Y,1
6,7959,1
6,162y,1
6,1253,1
6,7699,1
6,107Y,1
6,7645,1
6,125Y,1
6,7275,1
6,1998,1
6,054y,1
6,7259,1
6,054Y,2
6,104Y,3
6,8624,3
6,7172,3
6,1536,3
6,7412,4
6,9150,4
6,162Y,17
6,7980,49
6,7261,53
6,1668,62
6,8060,78
6,1997,121
7,055Y,1
7,062Y,1
7,7959,1
7,162y,1
7,1253,1
7,107Y,1
7,7645,1
7,125Y,1
7,7275,1
7,1998,1
7,054y,1
7,7259,1
7,7699,1
7,054Y,2
7,8624,3
7,7172,3
7,104Y,3
7,1536,3
7,7412,4
7,9150,4
7,162Y,17
7,7980,49
7,7261,53
7,1668,62
7,8060,78
7,1997,121
8,055Y,1
8,062Y,1
8,7959,1
8,162y,1
8,1253,1
8,7699,1
8,107Y,1
8,7645,1
8,125Y,1
8,7275,1
8,1998,1
8,054y,1
8,7259,1
8,054Y,2
8,104Y,3
8,8624,3
8,7172,3
8,1536,3
8,7412,4
8,9150,4
8,162Y,17
8,7980,49
8,7261,53
8,1668,62
8,8060,78
8,1997,121
9,055Y,1
9,062Y,1
9,7959,1
9,162y,1
9,1253,1
9,107Y,1
9,7645,1
9,125Y,1
9,7275,1
9,1998,1
9,054y,1
9,7259,1
9,7699,1
9,054Y,2
9,8624,3
9,104Y,3
9,7172,3
9,1536,3
9,7412,4
9,9150,4
9,162Y,17
9,7980,49
9,7261,53
9,1668,62
9,8060,78
9,1997,121
10,055Y,1
10,062Y,1
10,7959,1
10,162y,1
