topic,ele_code,ele_amount,name,long_name
1,055Y,3696.32,CISE Education and Workforce,CISE Education and Workforce
1,1998,3696.32,IUSE,Imploving Undergraduate STEM Education (IUSE)
1,7645,5876.58,Discovery Research K-12,Discovery Research K-12
1,125Y,9110.89,Science of Science,Science of Science
1,062Y,23498.67,GCR-Growing Convergence Research,GCR-Growing Convergence Research
1,7259,23498.67,AISL,Advencing Informal STEM Learning
1,8624,27061.76,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
1,1253,30201.34,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
1,7699,45132.7,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
1,7959,53073,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
1,107Y,60371.52,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
1,154Y,75290.07,GVF - Global Venture Fund,GVF - Global Venture Fund
1,7275,95744.65,Cross-EF Activities,Cross-EF Activities
1,1536,110574.5,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
1,104Y,111005.58,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
1,7412,116226.27,Advanced Tech Education Prog,Advanced Tech Education Prog
1,9150,141400.7,EPSCoR Co-Funding,EPSCoR Co-Funding
1,162Y,165371.71,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
1,7980,718397.73,ECR-EHR Core Research,ECR-EHR Core Research
1,8060,767497.33,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
1,7261,2032156.43,Project & Program Evaluation,Project & Program Evaluation
1,1668,3302937.05,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
1,1997,7105596.78,NRT,NSF Research Traineeship (NRT)
1,7172,8452533.26,Graduate Research Fellowship,Graduate Research Fellowship
2,055Y,2874.92,CISE Education and Workforce,CISE Education and Workforce
2,1998,2874.92,IUSE,Imploving Undergraduate STEM Education (IUSE)
2,7645,5876.58,Discovery Research K-12,Discovery Research K-12
2,1253,10067.11,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
2,062Y,13707.56,GCR-Growing Convergence Research,GCR-Growing Convergence Research
2,7259,13707.56,AISL,Advencing Informal STEM Learning
2,8624,16781.42,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
2,7959,23588,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
2,125Y,25054.94,Science of Science,Science of Science
2,154Y,47280.07,GVF - Global Venture Fund,GVF - Global Venture Fund
2,7699,63716.75,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
2,1536,91806.12,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
2,107Y,97523.22,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
2,7412,99072.68,Advanced Tech Education Prog,Advanced Tech Education Prog
2,7275,100303.92,Cross-EF Activities,Cross-EF Activities
2,104Y,167018.51,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
2,9150,172514.34,EPSCoR Co-Funding,EPSCoR Co-Funding
2,162Y,174159.87,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
2,8060,596942.99,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
2,7980,906851,ECR-EHR Core Research,ECR-EHR Core Research
2,1668,2264053.24,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
2,7261,2912320.38,Project & Program Evaluation,Project & Program Evaluation
2,1997,8074974.37,NRT,NSF Research Traineeship (NRT)
2,7172,56243711.01,Graduate Research Fellowship,Graduate Research Fellowship
3,7645,7835.45,Discovery Research K-12,Discovery Research K-12
3,7275,9118.54,Cross-EF Activities,Cross-EF Activities
3,1253,10067.11,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
3,7959,11794,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
3,107Y,13931.89,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
3,125Y,18221.77,Science of Science,Science of Science
3,055Y,22177.94,CISE Education and Workforce,CISE Education and Workforce
3,1998,22177.94,IUSE,Imploving Undergraduate STEM Education (IUSE)
3,7699,23893.78,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
3,1536,24897.16,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
3,8624,25363.6,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
3,7412,28126.74,Advanced Tech Education Prog,Advanced Tech Education Prog
3,154Y,30380.22,GVF - Global Venture Fund,GVF - Global Venture Fund
3,104Y,33100.65,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
3,162Y,89286.78,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
3,9150,97300.44,EPSCoR Co-Funding,EPSCoR Co-Funding
3,062Y,135117.36,GCR-Growing Convergence Research,GCR-Growing Convergence Research
3,7259,135117.36,AISL,Advencing Informal STEM Learning
3,7980,534614.36,ECR-EHR Core Research,ECR-EHR Core Research
3,8060,903852.87,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
3,7261,1714592.45,Project & Program Evaluation,Project & Program Evaluation
3,1668,3728877.89,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
3,1997,5608120.2,NRT,NSF Research Traineeship (NRT)
3,7172,13111021.37,Graduate Research Fellowship,Graduate Research Fellowship
4,055Y,1642.81,CISE Education and Workforce,CISE Education and Workforce
4,1998,1642.81,IUSE,Imploving Undergraduate STEM Education (IUSE)
4,062Y,5874.67,GCR-Growing Convergence Research,GCR-Growing Convergence Research
4,7259,5874.67,AISL,Advencing Informal STEM Learning
4,125Y,6833.17,Science of Science,Science of Science
4,7645,15670.89,Discovery Research K-12,Discovery Research K-12
4,7959,17691,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
4,107Y,27863.78,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
4,1536,36208.18,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
4,1253,40268.46,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
4,7699,42477.83,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
4,7412,42667.35,Advanced Tech Education Prog,Advanced Tech Education Prog
4,9150,62109.51,EPSCoR Co-Funding,EPSCoR Co-Funding
4,7275,63829.77,Cross-EF Activities,Cross-EF Activities
4,154Y,71946.71,GVF - Global Venture Fund,GVF - Global Venture Fund
4,8624,103247.93,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
4,104Y,136513.5,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
4,162Y,152753.65,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
4,7980,963806.73,ECR-EHR Core Research,ECR-EHR Core Research
4,8060,1071710.42,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
4,7261,1306568.45,Project & Program Evaluation,Project & Program Evaluation
4,1668,3207427.62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
4,1997,4089811.24,NRT,NSF Research Traineeship (NRT)
4,7172,20897098.48,Graduate Research Fellowship,Graduate Research Fellowship
5,7959,5897,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
5,055Y,6160.54,CISE Education and Workforce,CISE Education and Workforce
5,1998,6160.54,IUSE,Imploving Undergraduate STEM Education (IUSE)
5,7699,18584.05,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
5,7645,21547.48,Discovery Research K-12,Discovery Research K-12
5,062Y,27415.12,GCR-Growing Convergence Research,GCR-Growing Convergence Research
5,7259,27415.12,AISL,Advencing Informal STEM Learning
5,125Y,29610.38,Science of Science,Science of Science
5,1253,30201.34,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
5,8624,40625.93,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
5,7275,41033.42,Cross-EF Activities,Cross-EF Activities
5,9150,41146.69,EPSCoR Co-Funding,EPSCoR Co-Funding
5,107Y,41795.67,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
5,1536,51236.41,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
5,7412,56888.18,Advanced Tech Education Prog,Advanced Tech Education Prog
5,104Y,59007.88,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
5,154Y,69259.13,GVF - Global Venture Fund,GVF - Global Venture Fund
5,162Y,263264.81,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
5,8060,709210.13,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
5,7261,1287915.05,Project & Program Evaluation,Project & Program Evaluation
5,7980,1989493.7,ECR-EHR Core Research,ECR-EHR Core Research
5,1668,3389370.75,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
5,1997,4176335.39,NRT,NSF Research Traineeship (NRT)
5,7172,12914895.42,Graduate Research Fellowship,Graduate Research Fellowship
6,7645,5876.58,Discovery Research K-12,Discovery Research K-12
6,125Y,6833.17,Science of Science,Science of Science
6,1253,10067.11,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
6,062Y,11749.34,GCR-Growing Convergence Research,GCR-Growing Convergence Research
6,7259,11749.34,AISL,Advencing Informal STEM Learning
6,107Y,13931.89,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
6,7699,15929.19,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
6,8624,16408.76,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
6,7275,18237.08,Cross-EF Activities,Cross-EF Activities
6,055Y,28338.48,CISE Education and Workforce,CISE Education and Workforce
6,1998,28338.48,IUSE,Imploving Undergraduate STEM Education (IUSE)
6,1536,33489.75,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
6,7959,35382,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
6,104Y,36747.98,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
6,7412,43985.9,Advanced Tech Education Prog,Advanced Tech Education Prog
6,154Y,74335.09,GVF - Global Venture Fund,GVF - Global Venture Fund
6,162Y,81562.04,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
6,9150,145394.91,EPSCoR Co-Funding,EPSCoR Co-Funding
6,7980,422180.61,ECR-EHR Core Research,ECR-EHR Core Research
6,7261,775879.2,Project & Program Evaluation,Project & Program Evaluation
6,1668,2382129.17,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
6,1997,3440743.68,NRT,NSF Research Traineeship (NRT)
6,8060,5102468.13,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
6,7172,12560752.54,Graduate Research Fellowship,Graduate Research Fellowship
7,055Y,2464.22,CISE Education and Workforce,CISE Education and Workforce
7,1998,2464.22,IUSE,Imploving Undergraduate STEM Education (IUSE)
7,062Y,15665.78,GCR-Growing Convergence Research,GCR-Growing Convergence Research
7,7259,15665.78,AISL,Advencing Informal STEM Learning
7,125Y,18221.77,Science of Science,Science of Science
7,7645,23506.34,Discovery Research K-12,Discovery Research K-12
7,1253,25167.78,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
7,7959,29485,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
7,107Y,41795.67,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
7,7699,45132.7,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
7,8624,45663.72,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
7,1536,85358.18,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
7,7412,91817.35,Advanced Tech Education Prog,Advanced Tech Education Prog
7,9150,103256.73,EPSCoR Co-Funding,EPSCoR Co-Funding
7,7275,109422.46,Cross-EF Activities,Cross-EF Activities
7,104Y,112927.17,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
7,154Y,137810.26,GVF - Global Venture Fund,GVF - Global Venture Fund
7,162Y,171995.25,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
7,7980,1167336.79,ECR-EHR Core Research,ECR-EHR Core Research
7,8060,1292909.7,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
7,7261,1678005.85,Project & Program Evaluation,Project & Program Evaluation
7,1668,3233347.67,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
7,1997,6055727.31,NRT,NSF Research Traineeship (NRT)
7,7172,16943175.55,Graduate Research Fellowship,Graduate Research Fellowship
8,055Y,3285.62,CISE Education and Workforce,CISE Education and Workforce
8,1998,3285.62,IUSE,Imploving Undergraduate STEM Education (IUSE)
8,7959,11794,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
8,7645,13712.03,Discovery Research K-12,Discovery Research K-12
8,125Y,18221.77,Science of Science,Science of Science
8,7275,18237.08,Cross-EF Activities,Cross-EF Activities
8,8624,27118.08,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
8,7699,31858.37,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
8,062Y,41122.67,GCR-Growing Convergence Research,GCR-Growing Convergence Research
8,7259,41122.67,AISL,Advencing Informal STEM Learning
8,1253,70469.8,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
8,107Y,83591.33,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
8,104Y,98305.03,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
8,154Y,110968.72,GVF - Global Venture Fund,GVF - Global Venture Fund
8,1536,128416.33,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
8,7412,139719.88,Advanced Tech Education Prog,Advanced Tech Education Prog
8,162Y,201499.18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
8,9150,261197.45,EPSCoR Co-Funding,EPSCoR Co-Funding
8,7980,741287.44,ECR-EHR Core Research,ECR-EHR Core Research
8,8060,994069.2,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8,7261,1391881.15,Project & Program Evaluation,Project & Program Evaluation
