topic,ele_code,freq,name,long_name
1,055Y,1,CISE Education and Workforce,CISE Education and Workforce
1,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
1,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
1,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
1,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
1,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
1,7645,1,Discovery Research K-12,Discovery Research K-12
1,125Y,1,Science of Science,Science of Science
1,7275,1,Cross-EF Activities,Cross-EF Activities
1,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
1,7259,1,AISL,Advencing Informal STEM Learning
1,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
1,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
1,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
1,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
1,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
1,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
1,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
1,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
1,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
1,7261,53,Project & Program Evaluation,Project & Program Evaluation
1,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
1,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
1,1997,121,NRT,NSF Research Traineeship (NRT)
2,055Y,1,CISE Education and Workforce,CISE Education and Workforce
2,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
2,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
2,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
2,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
2,7645,1,Discovery Research K-12,Discovery Research K-12
2,125Y,1,Science of Science,Science of Science
2,7275,1,Cross-EF Activities,Cross-EF Activities
2,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
2,7259,1,AISL,Advencing Informal STEM Learning
2,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
2,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
2,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
2,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
2,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
2,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
2,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
2,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
2,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
2,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
2,7261,53,Project & Program Evaluation,Project & Program Evaluation
2,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
2,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
2,1997,121,NRT,NSF Research Traineeship (NRT)
3,055Y,1,CISE Education and Workforce,CISE Education and Workforce
3,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
3,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
3,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
3,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
3,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
3,7645,1,Discovery Research K-12,Discovery Research K-12
3,125Y,1,Science of Science,Science of Science
3,7275,1,Cross-EF Activities,Cross-EF Activities
3,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
3,7259,1,AISL,Advencing Informal STEM Learning
3,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
3,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
3,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
3,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
3,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
