topic,ele_code,weight_freq
1,7645,0.004
1,125Y,0.007
1,062Y,0.008
1,7259,0.008
1,055Y,0.009
1,1998,0.009
1,1253,0.01
1,7699,0.016
1,107Y,0.02
1,7959,0.027
1,7275,0.032
1,104Y,0.037
1,1536,0.038
1,8624,0.041
1,7172,0.042
1,154Y,0.048
1,7412,0.049
1,9150,0.056
1,162Y,0.476
1,7980,1.079
1,7261,1.203
1,1668,2.036
1,8060,2.227
1,1997,3.975
2,1253,0.003
2,7645,0.004
2,062Y,0.005
2,7259,0.005
2,055Y,0.007
2,1998,0.007
2,7959,0.012
2,125Y,0.019
2,7699,0.022
2,154Y,0.023
2,8624,0.023
2,107Y,0.033
2,7275,0.033
2,1536,0.041
2,104Y,0.056
2,7412,0.056
2,9150,0.273
2,7172,0.372
2,162Y,0.484
2,7980,1.167
2,1668,1.377
2,8060,1.681
2,7261,3.446
2,1997,9.306
3,7275,0.003
3,1253,0.003
3,107Y,0.005
3,7645,0.006
3,7959,0.006
3,7699,0.008
3,1536,0.011
3,104Y,0.011
3,125Y,0.014
3,154Y,0.017
3,7412,0.017
3,8624,0.028
3,9150,0.039
3,062Y,0.045
3,7259,0.045
3,055Y,0.056
3,1998,0.056
3,7172,0.083
3,162Y,0.277
3,7261,0.748
3,7980,0.751
3,1668,2.031
3,8060,2.587
3,1997,2.616
4,062Y,0.002
4,7259,0.002
4,055Y,0.004
4,1998,0.004
4,125Y,0.005
4,7959,0.009
4,107Y,0.009
4,7645,0.012
4,1253,0.013
4,7699,0.015
4,1536,0.018
4,7275,0.021
4,7412,0.031
4,154Y,0.034
4,9150,0.038
4,104Y,0.046
4,7172,0.105
4,8624,0.123
4,162Y,0.459
4,7261,0.722
4,7980,1.375
4,1668,2.064
4,1997,2.429
4,8060,2.948
5,7959,0.003
5,7699,0.006
5,062Y,0.009
5,7259,0.009
5,1253,0.01
5,7275,0.014
5,107Y,0.014
5,055Y,0.015
5,1998,0.015
5,7645,0.016
5,104Y,0.02
5,125Y,0.022
5,1536,0.022
5,9150,0.023
5,154Y,0.027
5,7412,0.034
5,8624,0.048
5,7172,0.076
5,7261,0.742
5,162Y,0.807
5,8060,1.834
5,1668,1.898
5,1997,2.285
5,7980,2.421
6,1253,0.003
6,062Y,0.004
6,7259,0.004
6,7645,0.004
6,107Y,0.005
6,125Y,0.005
6,7699,0.005
6,7275,0.006
6,104Y,0.012
6,1536,0.013
6,7959,0.018
6,8624,0.019
6,7412,0.034
6,7172,0.056
6,9150,0.065
6,055Y,0.071
6,1998,0.071
6,154Y,0.158
6,162Y,0.237
6,7261,0.395
6,7980,0.597
6,1997,1.61
6,1668,1.775
6,8060,15.454
7,062Y,0.005
7,7259,0.005
7,055Y,0.006
7,1998,0.006
7,1253,0.008
7,125Y,0.014
7,107Y,0.014
7,7959,0.015
7,7699,0.016
7,7645,0.018
7,1536,0.036
7,7275,0.036
7,104Y,0.038
7,7412,0.049
7,8624,0.057
7,9150,0.062
7,154Y,0.072
7,7172,0.077
7,162Y,0.558
7,7261,1.079
7,7980,1.494
7,1668,2.209
7,1997,3.469
7,8060,3.695
8,7959,0.006
8,7275,0.006
8,055Y,0.008
8,1998,0.008
8,7645,0.01
8,7699,0.011
8,125Y,0.014
8,062Y,0.014
8,7259,0.014
8,1253,0.023
8,107Y,0.028
8,8624,0.032
8,104Y,0.033
8,1536,0.049
8,154Y,0.051
8,7412,0.072
8,7172,0.083
8,9150,0.112
8,162Y,0.629
8,7261,0.873
8,7980,1.274
8,1668,2.138
8,8060,2.546
8,1997,3.2
9,7699,0.003
9,1253,0.005
9,125Y,0.005
9,062Y,0.006
9,7259,0.006
9,7959,0.007
9,7275,0.009
9,1536,0.009
9,107Y,0.012
9,7412,0.013
9,104Y,0.015
9,055Y,0.025
9,1998,0.025
