topic_number_name,top_ele_codes,top_ele_names
#1: Practice and Theory,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#2: Creative Thinking Ability,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#3: Computer Science and Computer Engineering,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#4: Network Support and Network Tasks,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#5: Background and Employment Opportunities,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#6: AI Development,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#7: Base Educational Approach,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#8: Minority Student Education,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#9: Educational Interventions,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#10: Training in Interdisciplinary,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#11: Minority Students' Self-efficacy,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#12: Software/Hardware Security,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#13: Educational Environment and Career Outcomes,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#14: Team Diversity and Innovative Reseults,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#15: Education Evaluation,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#16: Data Sience and Data Analysis,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#17: IT & Human Behavior,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#18: Education Workshop,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#19: Education Alliance Development,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#20: Educational Counseling and Support,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#21: Material Science,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#22: Community College Support,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#23: Cybersecurity,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#24: Online Education and Self-learning,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
#25: Environmental Resourse System,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER "
