topic_number_name,top_ele_codes,top_ele_names
#1: Practice and Theory,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#2: Creative Thinking Ability,"7172, 1997, 7261","Graduate Research Fellowship, NRT, Project & Program Evaluation"
#3: Computer Science and Computer Engineering,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#4: Network Support and Network Tasks,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#5: Background and Employment Opportunities,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#6: AI Development,"7172, 8060, 1997","Graduate Research Fellowship, Secure &Trustworthy Cyberspace, NRT"
#7: Base Educational Approach,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#8: Minority Student Education,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#9: Educational Interventions,"7172, 1997, 7980","Graduate Research Fellowship, NRT, ECR-EHR Core Research"
#10: Training in Interdisciplinary,"1997, 7261, 7172","NRT, Project & Program Evaluation, Graduate Research Fellowship"
#11: Minority Students' Self-efficacy,"7172, 7980, 1997","Graduate Research Fellowship, ECR-EHR Core Research, NRT"
#12: Software/Hardware Security,"7172, 1668, 8060","Graduate Research Fellowship, CYBERCORPS: SCHLAR FOR SER, Secure &Trustworthy Cyberspace"
#13: Educational Environment and Career Outcomes,"7172, 7980, 1997","Graduate Research Fellowship, ECR-EHR Core Research, NRT"
#14: Team Diversity and Innovative Reseults,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#15: Education Evaluation,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#16: Data Sience and Data Analysis,"7172, 1997, 7261","Graduate Research Fellowship, NRT, Project & Program Evaluation"
#17: IT & Human Behavior,"7172, 1997, 7261","Graduate Research Fellowship, NRT, Project & Program Evaluation"
#18: Education Workshop,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#19: Education Alliance Development,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#20: Educational Counseling and Support,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#21: Material Science,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#22: Community College Support,"7172, 1668, 1997","Graduate Research Fellowship, CYBERCORPS: SCHLAR FOR SER, NRT"
#23: Cybersecurity,"1668, 7172, 1997","CYBERCORPS: SCHLAR FOR SER, Graduate Research Fellowship, NRT"
#24: Online Education and Self-learning,"7172, 1997, 1668","Graduate Research Fellowship, NRT, CYBERCORPS: SCHLAR FOR SER"
#25: Environmental Resourse System,"1997, 7172, 7261","NRT, Graduate Research Fellowship, Project & Program Evaluation"
