"","X2","X1","dist","Title 1","Title"
"1","1760544","1761008",0,"Collaborative Research: New Insights into STEM Pathways: The Role of Peers, Networks, and Demand.","Collaborative Research: New Insights into STEM Pathways: The Role of Peers, Networks, and Demand."
"2","1760609","1760544",0,"Collaborative Research: New Insights into STEM Pathways: The Role of Peers, Networks, and Demand.","Collaborative Research: New Insights into STEM Pathways: The Role of Peers, Networks, and Demand."
"3","1760609","1761008",0,"Collaborative Research: New Insights into STEM Pathways: The Role of Peers, Networks, and Demand.","Collaborative Research: New Insights into STEM Pathways: The Role of Peers, Networks, and Demand."
"4","1761086","1761158",0,"Collaborative Research: Who are Interdisciplinary STEM Doctoral Graduates? Exploring and Assessing Antecedents and Economic Consequences","Collaborative Research: Who are Interdisciplinary STEM Doctoral Graduates? Exploring and Assessing Antecedents and Economic Consequences"
"5","1806889","1856346",22,"IGE: Developing a Research Engineer Identity","IGE: Developing Reflective Engineers"
"6","1807047","1806705",1,"Collaborative Research:IGE: Scaling Faculty Development to Broaden Participation in Graduate Education","Collaborative Research: IGE: Scaling Faculty Development to Broaden Participation in Graduate Education"
"7","1819521","1820531",0,"SFS-Capacity: Collaborative: Validation of Concept Assessment Tools for Cybersecurity","SFS-Capacity: Collaborative: Validation of Concept Assessment Tools for Cybersecurity"
"8","1820608","1820573",0,"Collaborative Research: CHEESE: Cyber Human Ecosystem of Engaged Security Education","Collaborative Research: CHEESE: Cyber Human Ecosystem of Engaged Security Education"
"9","1820623","1820686",24,"Collaborative Research: Engaging the Mississippi Delta in CyberCorps","Engaging the Mississippi Delta in CyberCorps"
"10","1821757","1821753",0,"SaTC: EDU: Collaborative: Curriculum to Broaden Participation in Cybersecurity for Middle School Teachers and Students (CyberMiSTS)","SaTC: EDU: Collaborative: Curriculum to Broaden Participation in Cybersecurity for Middle School Teachers and Students (CyberMiSTS)"
"11","1821782","1821822",0,"SaTC: EDU: Collaborative: Incorporating Sociotechnical Cybersecurity Learning Within Undergraduate Capstone Courses","SaTC: EDU: Collaborative: Incorporating Sociotechnical Cybersecurity Learning Within Undergraduate Capstone Courses"
"12","1828288","1828302",4,"Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy","Collaborative Research: NRT: Cyber-Physical-Social System for Understanding & Thwarting the Illicit Economy"
"13","1828288","1828492",4,"Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy","Collaborative Research: NRT: Cyber-Physical-Social System for Understanding & Thwarting the Illicit Economy"
"14","1828288","1828462",4,"Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy","Collaborative Research: NRT: Cyber-Physical-Social System for Understanding & Thwarting the Illicit Economy"
"15","1828302","1828462",0,"Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy","Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy"
"16","1828302","1828492",0,"Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy","Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy"
"17","1828492","1828462",0,"Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy","Collaborative Research: NRT: Cyber-Physical-Social System for Understanding and Thwarting the Illicit Economy"
"18","1834214","1844136",0,"EDU: Collaborative: Using Virtual Machine Introspection for Deep Cyber Security Education","EDU: Collaborative: Using Virtual Machine Introspection for Deep Cyber Security Education"
"19","1835251","1835307",0,"NCS-FO: Integrating Non-Invasive Neuroimaging and Educational Data Mining to Improve Understanding of Robust Learning Processes","NCS-FO: Integrating Non-Invasive Neuroimaging and Educational Data Mining to Improve Understanding of Robust Learning Processes"
"20","1835251","1912474",0,"NCS-FO: Integrating Non-Invasive Neuroimaging and Educational Data Mining to Improve Understanding of Robust Learning Processes","NCS-FO: Integrating Non-Invasive Neuroimaging and Educational Data Mining to Improve Understanding of Robust Learning Processes"
"21","1839284","2139841",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"22","1839284","2139296",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"23","1839284","2141414",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"24","1839284","2043212",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"25","1839284","1938052",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"26","1839284","2147721",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"27","1839284","2035701",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"28","1839284","1842399",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"29","1839284","1937966",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"30","1839284","2137419",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"31","1839284","2040435",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"32","1839284","1939266",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"33","1839284","1842490",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"34","1839284","1848739",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"35","1839284","2137425",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"36","1839284","1938056",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"37","1839284","1842403",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"38","1839284","2136516",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"39","1839284","1841556",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"40","1839284","1842215",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"41","1839284","2139907",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"42","1839284","1840991",8,"Graduate Research Fellowship (GRFP)","Graduate Research Fellowship Program (GRFP)"
"43","1839284","2041853",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"44","1839284","2140739",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"45","1839284","2140742",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"46","1839284","2139322",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"47","1839284","2041783",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"48","1839284","2140744",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"49","1839284","1945995",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"50","1839284","2041856",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"51","1839284","2141543",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"52","1839284","2043091",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"53","1839284","2041854",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"54","1839284","1839290",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"55","1839284","1938103",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"56","1839284","1937956",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"57","1839284","1938058",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"58","1839284","2034837",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"59","1839284","2139772",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"60","1839284","2034612",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"61","1839284","1840279",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"62","1839284","2041850",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"63","1839284","2041851",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"64","1839284","2137423",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"65","1839284","1937968",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"66","1839284","2136515",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"67","1839284","1840343",1,"Graduate Research Fellowship Program  (GRFP)","Graduate Research Fellowship Program (GRFP)"
"68","1839284","1849665",1,"Graduate Research Fellowship Program(GRFP)","Graduate Research Fellowship Program (GRFP)"
"69","1839284","1940699",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"70","1839284","1946918",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"71","1839284","1842398",1,"Graduate Research Fellowship Program(GRFP)","Graduate Research Fellowship Program (GRFP)"
"72","1839284","2136337",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"73","1839284","2139905",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"74","1839284","1842491",1,"Graduate Research Fellowship Program(GRFP)","Graduate Research Fellowship Program (GRFP)"
"75","1839284","2043424",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"76","1839284","2136514",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"77","1839284","1946725",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"78","1839284","1840998",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"79","1839284","1842492",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"80","1839284","1938055",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"81","1839284","1848931",1,"Graduate Research Fellowship Program(GRFP)","Graduate Research Fellowship Program (GRFP)"
"82","1839284","2041784",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"83","1839284","1840989",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"84","1839284","1842474",1,"Graduate Research Fellowship Program(GRFP)","Graduate Research Fellowship Program (GRFP)"
"85","1839284","2139766",0,"Graduate Research Fellowship Program (GRFP)","Graduate Research Fellowship Program (GRFP)"
"86","1839284","1840990",8,"Graduate Research Fellowship (GRFP)","Graduate Research Fellowship Program (GRFP)"
