document,topic,gamma
2125758,1,0.004750594
1920560,1,0.004854369
1946537,1,0.005555556
2041960,1,0.005665722
2039634,1,0.005934718
2105254,1,0.006116208
1761249,1,0.006134969
2113803,1,0.006134969
2105635,1,0.006289308
1954836,1,0.006349206
2114789,1,0.006369427
2039612,1,0.006410256
2025257,1,0.006451613
2039605,1,0.00660066
2117073,1,0.006622517
1937738,1,0.006734007
2114911,1,0.006779661
1855925,1,0.007326007
2039354,1,0.007326007
2125684,1,0.007371007
2105723,1,0.007380074
1934285,1,0.007692308
1750038,1,0.007905138
1820531,1,0.008
1922639,1,0.008086253
1907537,1,0.008196721
1953525,1,0.008264463
2042882,1,0.008310249
1829004,1,0.008379888
1922202,1,0.008474576
1760884,1,0.00877193
2017950,1,0.00877193
2000388,1,0.008849558
2038029,1,0.008955224
1955062,1,0.008982036
2114808,1,0.009036145
2039606,1,0.009202454
2039616,1,0.009463722
1922270,1,0.009493671
1828466,1,0.00952381
1947295,1,0.00955414
2025162,1,0.009646302
2113839,1,0.009803922
1821829,1,0.010050251
2114974,1,0.010135135
1920550,1,0.010309278
1761008,1,0.010380623
1922180,1,0.01056338
2000865,1,0.010676157
2031066,1,0.010752688
1842287,1,0.010752688
2055062,1,0.010830325
1912474,1,0.010869565
1937612,1,0.010989011
1824258,1,0.011764706
1937778,1,0.01179941
1819521,1,0.011811024
1922560,1,0.011904762
2011117,1,0.011952191
2100155,1,0.012461059
1806889,1,0.012578616
1946493,1,0.012698413
1954259,1,0.012698413
2114936,1,0.012779553
2100234,1,0.012779553
1854494,1,0.012875536
2105801,1,0.013071895
1922579,1,0.013114754
1922649,1,0.013192612
2139901,1,0.013333333
2140003,1,0.013333333
2100139,1,0.013651877
1946557,1,0.01369863
1821775,1,0.013824885
1828942,1,0.013927577
2125510,1,0.014044944
1946553,1,0.014134276
1912753,1,0.014218009
2125872,1,0.014354067
1846321,1,0.014367816
1922598,1,0.014527845
2021713,1,0.014662757
2041788,1,0.014814815
1754092,1,0.014814815
2023234,1,0.014880952
2030313,1,0.014888337
1820685,1,0.014981273
2041856,1,0.015151515
1922169,1,0.015209125
1903423,1,0.015267176
1760831,1,0.015267176
2043237,1,0.01529052
2043022,1,0.015384615
2042700,1,0.015822785
1943041,1,0.016260163
1753900,1,0.016339869
2138250,1,0.016393443
1915780,1,0.016393443
2039288,1,0.016393443
1835309,1,0.016759777
2043106,1,0.016806723
2104532,1,0.017182131
2039445,1,0.017301038
2112689,1,0.017421603
2100134,1,0.01754386
1807086,1,0.017595308
2125295,1,0.017751479
1919004,1,0.017857143
1954776,1,0.018050542
1821753,1,0.018099548
1922687,1,0.018134715
2121898,1,0.018181818
1941415,1,0.018404908
1760894,1,0.018617021
2125644,1,0.018817204
1919326,1,0.018918919
1753681,1,0.018927445
1920529,1,0.019157088
2125606,1,0.019553073
2048018,1,0.019662921
2043250,1,0.019672131
1822030,1,0.019672131
1807056,1,0.019736842
1926789,1,0.019762846
2025349,1,0.02006689
2029632,1,0.020114943
2125924,1,0.020134228
1760993,1,0.020547945
1841792,1,0.020689655
1934782,1,0.020833333
1820666,1,0.021097046
1955049,1,0.021148036
1820609,1,0.021186441
1842678,1,0.021186441
1754014,1,0.021186441
2114952,1,0.021406728
