document,topic,gamma,amount,ele_code
1806593,1,0.212765957,478443,"1997, 7261"
1806904,1,0.176056338,440743,"1997, 7261"
1855978,1,0.17037037,389708,"1997, 7261"
1954967,1,0.161383285,495993,1997
1954946,1,0.147435897,499978,1997
1922761,1,0.137466307,2999998,"1997, 7261"
2125528,1,0.134285714,2999967,1997
1922591,1,0.130750605,1560000,1997
1922512,1,0.113636364,2999661,"1997, 7261"
1921485,1,0.111464968,2445818,1668
2105726,1,0.103975535,458240,1997
1723734,1,0.102222222,499287,1668
2125703,1,0.092178771,925924,1997
2123024,1,0.089622642,59286,1668
2021585,1,0.085173502,2400000,1997
1921840,1,0.084656085,2527837,1668
2114680,1,0.082018927,298214,8060
2022023,1,0.081730769,2999986,1997
2054968,1,0.079872204,113025,8060
1922398,1,0.079510703,2574805,1668
1922004,1,0.078740157,3.00E+06,"1997, 7261"
1954978,1,0.077419355,5.00E+05,1997
1828288,1,0.077319588,2995676,"1997, 9150"
1821841,1,0.076923077,279448,8060
1927550,1,0.076612903,481761,8060
2054920,1,0.076388889,NA,NA
1754054,1,0.075949367,2502208,1668
1821780,1,0.07421875,308000,"1668, 8060"
1842074,1,0.073529412,NA,NA
1931800,1,0.073469388,499595,8060
1921576,1,0.073089701,2732877,1668
2125677,1,0.072864322,3.00E+06,1997
2038483,1,0.07278481,297719,8060
1848789,1,0.072100313,30258,1997
1828149,1,0.071625344,2999967,"1997, 7261"
1937490,1,0.071428571,1425654,7980
1956114,1,0.071428571,828194,7980
2028397,1,0.070895522,397826,8060
1856394,1,0.070121951,499957,"1997, 7261"
2120888,1,0.069832402,459224,162Y
2022040,1,0.068376068,2999525,1997
2039610,1,0.068027211,3.00E+05,8060
1901733,1,0.068027211,43831,8060
1921813,1,0.067226891,2383240,1668
2021791,1,0.063829787,2999999,"1997, 7275"
1821822,1,0.063157895,363999,8060
2100355,1,0.062130178,487909,7980
2115028,1,0.061776062,297712,8060
2041970,1,0.060070671,299945,8060
2043302,1,0.059561129,907904,1668
2042416,1,0.059190031,1396284,1668
1821666,1,0.059055118,3.00E+05,8060
1922551,1,0.058139535,2998051,"1997, 7261"
1820640,1,0.058035714,497000,1668
1955109,1,0.057926829,5.00E+05,1997
2021871,1,0.057894737,2999289,1997
1821766,1,0.057291667,294280,8060
2021628,1,0.056756757,3.00E+06,1997
1828822,1,0.056426332,3018896,"1997, 7261"
2043095,1,0.056047198,1352250,1668
2115025,1,0.05483871,299941,8060
1940221,1,0.054216867,83755,7980
1922658,1,0.054140127,3.00E+06,1997
2025686,1,0.053977273,NA,NA
2125921,1,0.053892216,1969598,"1997, 7959"
1954923,1,0.052478134,5.00E+05,1997
1761251,1,0.052434457,169057,7980
2125865,1,0.052054795,2999920,1997
2125733,1,0.051829268,3.00E+06,1997
2105489,1,0.051679587,499870,1997
1806908,1,0.051118211,490101,"1997, 7261"
2114824,1,0.05078125,312568,"054y, 8060"
2025046,1,0.050761421,277359,162Y
2114660,1,0.050473186,304761,162Y
1946599,1,0.05015674,1650474,1668
2125727,1,0.049230769,2998922,1997
1922291,1,0.048507463,2026410,1668
1806815,1,0.046875,499908,"1997, 7261"
1829075,1,0.046703297,2899112,"1997, 7261, 7699"
1922758,1,0.046242775,3.00E+06,"1997, 7261"
2039408,1,0.046153846,299810,8060
1806705,1,0.045936396,580188,1997
1828974,1,0.045576408,3020324,"1997, 7261"
2022168,1,0.044817927,3.00E+06,1997
1926736,1,0.044776119,393394,"7980, 8624"
2105661,1,0.044728435,420299,1997
2021540,1,0.043956044,3.00E+06,1997
2043324,1,0.043010753,1917081,1668
2113981,1,0.042857143,399974,1668
2125748,1,0.042821159,2984140,1997
1821788,1,0.042780749,315984,8060
1829071,1,0.042622951,3.00E+06,"1997, 7261"
2000599,1,0.042553191,831276,7980
1829008,1,0.042424242,2993421,"1997, 7261"
1946607,1,0.041935484,1634366,1668
1828993,1,0.041935484,3.00E+06,"1997, 7261"
1856302,1,0.041666667,499835,"1997, 7261"
1914771,1,0.041493776,1683319,1668
1806664,1,0.04137931,433997,"1997, 7261"
2125858,1,0.041322314,2415108,1997
2032122,1,0.041139241,145000,7980
2021874,1,0.041002278,2999878,1997
1828869,1,0.04057971,2997405,"1997, 7261"
2125764,1,0.040247678,3.00E+06,"107Y, 1997"
2039637,1,0.04,299987,8060
1806874,1,0.039877301,490804,"1997, 7261"
2126059,1,0.038732394,325009,162Y
1821560,1,0.038277512,299999,8060
1931724,1,0.037815126,532000,8060
2032292,1,0.037790698,4.00E+05,
1856346,1,0.037671233,959082,"1997, 7261"
2042996,1,0.037174721,954746,1668
2043084,1,0.037037037,1518705,1668
2105718,1,0.036723164,442383,1997
1856189,1,0.036253776,499797,"1997, 7261"
1753983,1,0.036199095,3080555,1668
1806323,1,0.036036036,499997,"1997, 7261"
1828571,1,0.036036036,2998366,"1997, 7261"
1855886,1,0.035928144,499649,"1997, 7261"
1946626,1,0.035714286,922706,1668
2125483,1,0.035555556,349948,162Y
2022190,1,0.035460993,3.00E+06,"104Y, 1997"
1855841,1,0.035335689,331009,"1997, 7261"
2037658,1,0.035294118,4.00E+05,8060
2022055,1,0.035135135,2999859,"054Y, 1997"
1922642,1,0.034582133,3.00E+06,"1997, 7261"
2113955,1,0.034351145,299999,8060
1956193,1,0.033980583,NA,NA
2125913,1,0.033333333,3.00E+06,1997
1937714,1,0.032727273,349667,7980
2125798,1,0.032697548,3.00E+06,1997
2037360,1,0.032520325,236486,"162y, 7980"
1900210,1,0.031818182,3.00E+05,8060
1828010,1,0.031331593,2999997,"062Y, 1997, 7259, 7261"
1822567,1,0.03125,420377,1668
1922072,1,0.031128405,2574236,1668
1949922,1,0.030888031,318639,7980
2114981,1,0.030716724,299481,8060
2100343,1,0.030612245,655321,7980
1922666,1,0.030470914,2980383,"1997, 7261"
2039583,1,0.03021148,3.00E+05,8060
2030148,1,0.030201342,200466,1997
2125362,1,0.030150754,1994676,1997
2126031,1,0.029801325,293442,162Y
1828902,1,0.029673591,2994781,"1997, 7261"
1842096,1,0.029605263,7564135,"1536, 1668, 7412"
2021744,1,0.029279279,2999999,1997
2021693,1,0.029100529,2748866,1997
1922697,1,0.028901734,3115884,"1997, 7261"
2125868,1,0.028776978,2999658,"104Y, 1997"
1844136,1,0.028735632,250685,8060
1821794,1,0.028708134,299998,8060
2105555,1,0.028673835,332184,1997
1828910,1,0.028409091,3057335,"1997, 7261"
1951688,1,0.028409091,533658,8060
2126023,1,0.028340081,349948,162Y
2028426,1,0.027777778,399203,"055Y, 1998, 8060"
1828820,1,0.027777778,2997865,"1997, 7261"
2114892,1,0.027586207,299993,8060
1856384,1,0.027522936,499898,"1997, 7261"
1937251,1,0.027272727,1195630,"162Y, 7980"
