topic_number_name,top_ele_codes,top_ele_names,,,,,
#1: Practice and Theory,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER",,,,,
#2: Creative Thinking Ability,"1997, 7261, 8060","NRT,  Project & Program Evaluation, Secure &Trustworthy Cyberspace",,,,,
#3: Computer Science and Computer Engineering,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER",,,,,
#4: Network Support and Network Tasks,"8060, 1997, 1668","Secure &Trustworthy Cyberspace, NRT, CYBERCORPS: SCHLAR FOR SER",,,,,
#5: Background and Employment Opportunities,"7980, 1997, 1668","ECR-EHR Core Research, NRT, CYBERCORPS: SCHLAR FOR SER",,,,,
#6: AI Development,"8060, 1668, 1997","Secure &Trustworthy Cyberspace,  CYBERCORPS: SCHLAR FOR SER, NRT",,,,,
#7: Base Educational Approach,"8060, 1997, 1668","Secure &Trustworthy Cyberspace, NRT, CYBERCORPS: SCHLAR FOR SER",,,,,
#8: Minority Student Education,"1997, 8060, 1668","NRT, Secure &Trustworthy Cyberspace, CYBERCORPS: SCHLAR FOR SER",,,,,
#9: Educational Interventions,"7980, 8060, 1997","ECR-EHR Core Research,  Secure &Trustworthy Cyberspace, NRT",,,,, 
#10: Training in Interdisciplinary,"1997, 7261, 8060","NRT, Project & Program Evaluation, Secure &Trustworthy Cyberspace",,,,,
#11: Minority Students' Self-efficacy,"7980, 162Y, 1997","ECR-EHR Core Research, ECR:BCSER Capcity STEM Ed Rscr, NRT",,,,,
#12: Software/Hardware Security,"8060, 1668, 1997","Secure &Trustworthy Cyberspace,  CYBERCORPS: SCHLAR FOR SER, NRT",,,,,
#13: Educational Environment and Career Outcomes,"7980, 1997, 8060","ECR-EHR Core Research, NRT, Secure &Trustworthy Cyberspace",,,,,
#14: Team Diversity and Innovative Reseults,"1997, 8060, 7980","NRT, Secure &Trustworthy Cyberspace, ECR-EHR Core Research",,,,,
#15: Education Evaluation,"8060, 1668, 1997","Secure &Trustworthy Cyberspace,  CYBERCORPS: SCHLAR FOR SER, NRT",,,,,
#16: Data Sience and Data Analysis,"1997, 7980, 8060","NRT, ECR-EHR Core Research, Secure &Trustworthy Cyberspace",,,,,
#17: IT & Human Behavior,"1997, 8060, 7980","NRT, Secure &Trustworthy Cyberspace, ECR-EHR Core Research",,,,,
#18: Education Workshop,"1997, 1668, 8060","NRT, CYBERCORPS: SCHLAR FOR SER, Secure &Trustworthy Cyberspace",,,,,
#19: Education Alliance Development,"1997, 8060, 7980","NRT, Secure &Trustworthy Cyberspace, ECR-EHR Core Research",,,,,
#20: Educational Counseling and Support,"1997, 1668, 7980","NRT, CYBERCORPS: SCHLAR FOR SER, ECR-EHR Core Research, NRT",,,,,
#21: Material Science,"8060, 1997, 1668","Secure &Trustworthy Cyberspace, NRT, CYBERCORPS: SCHLAR FOR SER",,,,,
#22: Community College Support,"1668, 1997, 8060","CYBERCORPS: SCHLAR FOR SER, NRT, Secure &Trustworthy Cyberspace",,,,,
#23: Cybersecurity,"1668, 8060, 1997","CYBERCORPS: SCHLAR FOR SER, Secure &Trustworthy Cyberspace, NRT",,,,,
#24: Online Education and Self-learning,"8060, 1997, 7980","Secure &Trustworthy Cyberspace, NRT, ECR-EHR Core Research",,,,,
#25: Environmental Resourse System,"1997, 7261, 8060","NRT,  Project & Program Evaluation, Secure &Trustworthy Cyberspace",,,,,
