document,topic,gamma
1723734,1,0.102222222
2105726,1,0.103975535
1921485,1,0.111464968
1922512,1,0.113636364
1922591,1,0.130750605
2125528,1,0.134285714
1922761,1,0.137466307
1954946,1,0.147435897
1954967,1,0.161383285
1855978,1,0.17037037
1806904,1,0.176056338
1806593,1,0.212765957
2139901,2,0.126666667
1807086,2,0.137829912
2140003,2,0.146666667
1954967,2,0.158501441
2138250,2,0.173770492
2105489,2,0.175710594
1806705,2,0.180212014
1806593,2,0.182033097
1855886,2,0.185628743
1955062,2,0.185628743
2105718,2,0.186440678
2105661,2,0.188498403
2105726,2,0.189602446
1954978,2,0.2
1856384,2,0.201834862
1955049,2,0.208459215
2105555,2,0.218637993
2105723,2,0.221402214
1806889,2,0.226415094
1806607,2,0.236979167
2105251,2,0.243076923
1855841,2,0.247349823
1954776,2,0.249097473
1806904,2,0.25
1856189,2,0.250755287
1955109,2,0.25304878
1954923,2,0.253644315
1954836,2,0.257142857
2105635,2,0.257861635
1806815,2,0.259375
1855978,2,0.266666667
1806698,2,0.271232877
1954946,2,0.28525641
1807056,2,0.286184211
2105721,2,0.290726817
2105254,2,0.293577982
1806874,2,0.300613497
1806323,2,0.303303303
1856302,2,0.3125
1806908,2,0.348242812
1856394,2,0.350609756
1855925,2,0.373626374
1856346,2,0.400684932
1806664,2,0.462068966
2114200,3,0.103202847
2113839,3,0.104575163
1854494,3,0.137339056
2021585,3,0.138801262
1922169,3,0.155893536
2028426,3,0.166666667
1828010,3,0.180156658
2042700,3,0.205696203
1829004,3,0.240223464
1824258,4,0.101960784
1926789,4,0.130434783
2113981,4,0.132142857
1919004,4,0.160714286
2054920,4,0.260416667
1821775,4,0.299539171
2030313,5,0.106699752
2105801,5,0.107843137
1922072,5,0.108949416
1753983,5,0.117647059
1922270,5,0.126582278
2024020,5,0.182108626
2032122,5,0.215189873
2025162,5,0.29903537
1920560,5,0.32038835
2000847,5,0.39031339
1920529,5,0.394636015
2125362,6,0.113065327
2032292,6,0.127906977
2105801,6,0.130718954
2113981,6,0.146428571
2029632,6,0.149425287
1919004,6,0.151785714
2114200,6,0.163701068
2117073,6,0.175496689
2104532,6,0.178694158
1951688,6,0.190340909
2015554,6,0.195945946
2113839,6,0.199346405
1947295,6,0.210191083
2028426,6,0.212962963
2114789,6,0.219745223
2114808,6,0.225903614
2100134,6,0.239766082
2039288,6,0.252459016
2122416,6,0.260377358
2037658,6,0.262745098
2039610,6,0.265306122
2028397,6,0.27238806
2039612,6,0.272435897
2039616,6,0.29022082
2114824,6,0.296875
2054968,6,0.300319489
2025686,6,0.306818182
2115025,6,0.312903226
2039606,6,0.31595092
2114981,6,0.317406143
2041788,6,0.322222222
2115008,6,0.322463768
2039354,6,0.32967033
2115028,6,0.335907336
2038483,6,0.338607595
2039605,6,0.339933993
2039408,6,0.342307692
2041970,6,0.342756184
2041960,6,0.342776204
2113803,6,0.343558282
2114892,6,0.372413793
2039637,6,0.393846154
2114680,6,0.400630915
2113955,6,0.404580153
2114911,6,0.423728814
2039634,6,0.424332344
2114974,6,0.425675676
2114952,6,0.44648318
2039445,6,0.44982699
2038029,6,0.492537313
2039583,6,0.495468278
2114936,6,0.520766773
2114680,7,0.100946372
2041970,7,0.109540636
1806593,7,0.111111111
1807056,7,0.118421053
1912474,7,0.125
1954259,7,0.126984127
2115025,7,0.135483871
2105555,7,0.150537634
2114789,7,0.159235669
1806889,7,0.163522013
2100134,7,0.16374269
1820666,7,0.168776371
2022036,7,0.180487805
1846321,7,0.25
2125872,8,0.100478469
1821794,8,0.119617225
2125483,8,0.133333333
2032292,8,0.136627907
1806323,8,0.147147147
1856189,8,0.160120846
2138250,8,0.180327869
1824258,8,0.219607843
1954836,8,0.320634921
2114981,9,0.102389078
2000865,9,0.103202847
2126059,9,0.112676056
2039616,9,0.113564669
2115008,9,0.123188406
2125940,9,0.12654321
2122416,9,0.132075472
2055062,9,0.133574007
1821753,9,0.167420814
2017950,9,0.171052632
2015554,9,0.172297297
1760831,9,0.208651399
1951688,9,0.224431818
2000388,9,0.351032448
2000483,9,0.357798165
1903152,9,0.462025316
1919326,9,0.562162162
1760884,9,0.581140351
1848789,10,0.115987461
1807086,10,0.152492669
2021693,10,0.177248677
1828942,10,0.178272981
1829008,10,0.178787879
2022036,10,0.182926829
2125868,10,0.184652278
2125684,10,0.191646192
1828571,10,0.195195195
2021874,10,0.200455581
1922004,10,0.204724409
1922666,10,0.20498615
2138250,10,0.206557377
2125921,10,0.209580838
2125362,10,0.211055276
1828902,10,0.213649852
1828820,10,0.213888889
2125913,10,0.215151515
1922694,10,0.215686275
2022190,10,0.21749409
1828974,10,0.222520107
1828822,10,0.222570533
2125764,10,0.222910217
2125865,10,0.224657534
2021744,10,0.22972973
1828288,10,0.234536082
