ele_code,name,long_name
1253,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
1536,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
1668,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
1997,NRT,NSF Research Traineeship (NRT)
1998,IUSE,Imploving Undergraduate STEM Education (IUSE)
7172,Graduate Research Fellowship,Graduate Research Fellowship
7259,AISL,Advencing Informal STEM Learning
7261,Project & Program Evaluation,Project & Program Evaluation
7275,Cross-EF Activities,Cross-EF Activities
7412,Advanced Tech Education Prog,Advanced Tech Education Prog
7645,Discovery Research K-12,Discovery Research K-12
7699,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
7959,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
7980,ECR-EHR Core Research,ECR-EHR Core Research
8060,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8624,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
9150,EPSCoR Co-Funding,EPSCoR Co-Funding
154Y,GVF - Global Venture Fund,GVF - Global Venture Fund
055Y,CISE Education and Workforce,CISE Education and Workforce
062Y,GCR-Growing Convergence Research,GCR-Growing Convergence Research
104Y,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
107Y,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
125Y,Science of Science,Science of Science
162Y,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
