topic,funding,Name
1,23533060.88,Practice and Theory
2,72212154.74,Creative Thinking Ability
3,26399237.71,Computer Science and Computer Engineering
4,32431547.58,Network Support and Network Tasks
5,25358122.51,Background and Employment Opportunities
6,25367320.59,AI Development
7,31506933.96,Base Educational Approach
8,25881718.55,Minority Student Education
9,21849888.25,Educational Interventions
10,69039272.75,Training in Interdisciplinary
11,48437155.29,Minority Students' Self-efficacy
12,18230206.12,Software/Hardware Security
13,25014737.01,Educational Environment and Career Outcomes
14,35228100.76,Team Diversity and Innovative Reseults
15,26818350,Education Evaluation
16,30883908.81,Data Sience and Data Analysis
17,20853850.73,IT & Human Behavior
18,20765251.47,Education Workshop
19,31056745.71,Education Alliance Development
20,32946044.68,Educational Counseling and Support
21,19381574.25,Material Science
22,182960619.4,Community College Support
23,65823525.63,Cybersecurity
24,17994742.68,Online Education and Self-learning
25,33929934.97,Environmental Resourse System
